Datetime,C_gauge
2010-12,RG11
2010-12,RG12
2010-11,RG11
2010-11,RG20_25
2011-03,RG11
2011-03,RG20_25
2011-03,RG20_25
2011-03,RG11
2011-03,RG03
2011-03,RG04
2011-03,RG20_25
2011-03,RG20_25
2011-03,RG04
2011-03,RG16
2011-03,RG11
2011-03,RG17
2011-03,RG20_25
2011-03,RG11
2011-03,RG11
2011-03,RG18
2011-03,RG18
2011-03,RG20_25
2011-03,RG11
2011-03,RG20_25
2011-03,RG20_25
2011-03,RG20_25
2011-02,RG20_25
2011-02,RG01
2011-02,RG20_25
2011-02,RG11
2011-02,RG04
2011-02,RG02
2011-02,RG14
2011-02,RG14
2011-02,RG11
2011-02,RG20_25
2011-02,RG09
2011-02,RG09
2011-02,RG07
2011-02,RG07
2011-02,RG18
2011-02,RG01
2011-02,RG03
2011-02,RG11
2011-02,RG04
2011-02,RG01
2011-02,RG11
2011-02,RG01
2011-02,RG07
2011-02,RG20_25
2011-02,RG08
2011-02,RG11
2011-02,RG07
2011-02,RG16
2011-02,RG15
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG15
2011-02,RG18
2011-02,RG20_25
2011-02,RG16
2011-02,RG20_25
2011-02,RG09
2011-02,RG03
2011-02,RG20_25
2011-02,RG09
2011-02,RG11
2011-02,RG20_25
2011-02,RG04
2011-02,RG11
2011-02,RG07
2011-02,RG15
2011-02,RG20_25
2011-02,RG09
2011-02,RG09
2011-02,RG16
2011-02,RG15
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG03
2011-02,RG11
2011-02,RG15
2011-02,RG16
2011-02,RG18
2011-02,RG11
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG03
2011-02,RG03
2011-02,RG11
2011-02,RG14
2011-02,RG20_25
2011-02,RG04
2011-02,RG14
2011-02,RG01
2011-02,RG01
2011-02,RG20_25
2011-02,RG15
2011-02,RG11
2011-02,RG20_25
2011-02,RG11
2011-02,RG20_25
2011-02,RG09
2011-02,RG18
2011-02,RG01
2011-02,RG05
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG17
2011-02,RG15
2011-02,RG03
2011-02,RG07
2011-02,RG14
2011-02,RG17
2011-02,RG20_25
2011-02,RG16
2011-02,RG03
2011-02,RG14
2011-02,RG12
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG12
2011-02,RG11
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG11
2011-02,RG20_25
2011-02,RG07
2011-02,RG20_25
2011-02,RG01
2011-02,RG20_25
2011-02,RG01
2011-02,RG01
2011-02,RG03
2011-02,RG01
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG11
2011-02,RG20_25
2011-02,RG15
2011-02,RG02
2011-02,RG03
2011-02,RG07
2011-02,RG14
2011-02,RG11
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG16
2011-02,RG15
2011-02,RG15
2011-02,RG11
2011-02,RG15
2011-02,RG08
2011-02,RG01
2011-02,RG03
2011-02,RG20_25
2011-02,RG04
2011-02,RG07
2011-02,RG08
2011-02,RG02
2011-02,RG04
2011-02,RG20_25
2011-02,RG11
2011-02,RG10_30
2011-02,RG15
2011-02,RG11
2011-02,RG02
2011-02,RG20_25
2011-02,RG17
2011-02,RG09
