Type,Datetime,Latitude,Longitude,C_gauge,Off_Day
Auto Fire Alarm,2010-12-07,47.608434,-122.338125,RG11,0
Car Fire,2010-12-05,47.655046999999996,-122.38113,RG12,1
Auto Fire Alarm,2010-11-26,47.621113,-122.35804399999999,RG11,1
Auto Fire Alarm,2010-11-25,47.607265999999996,-122.332451,RG20_25,1
Automatic Fire Alarm False,2011-03-01,47.613611,-122.331944,RG11,0
Auto Fire Alarm,2011-03-01,47.602114,-122.330809,RG20_25,0
Auto Fire Alarm,2011-03-01,47.601667,-122.30233899999999,RG20_25,0
Auto Fire Alarm,2011-03-01,47.615328000000005,-122.34981499999999,RG11,0
Auto Fire Alarm,2011-03-01,47.661257,-122.30641000000001,RG03,0
Automatic Fire Alarm Resd,2011-03-01,47.675861,-122.30871599999999,RG04,0
Auto Fire Alarm,2011-03-01,47.620903999999996,-122.30360800000001,RG20_25,0
Auto Fire Alarm,2011-03-01,47.599184,-122.32096100000001,RG20_25,0
Automatic Fire Alarm False,2011-03-01,47.708602,-122.32458799999999,RG04,0
Auto Fire Alarm,2011-03-01,47.523056,-122.319795,RG16,0
Auto Fire Alarm,2011-03-01,47.608765000000005,-122.34070200000001,RG11,0
Automatic Fire Alarm Resd,2011-03-01,47.526268,-122.356421,RG17,0
Auto Fire Alarm,2011-03-01,47.606302,-122.33003899999999,RG20_25,0
Auto Fire Alarm,2011-03-01,47.620034999999994,-122.34351299999999,RG11,0
Automatic Fire Alarm Resd,2011-03-01,47.64306,-122.34942,RG11,0
Automatic Fire Alarm Resd,2011-03-01,47.559664,-122.29680900000001,RG18,0
Automatic Fire Alarm Resd,2011-03-01,47.55043,-122.290489,RG18,0
Automatic Fire Alarm Resd,2011-03-01,47.609188,-122.307355,RG20_25,0
Auto Fire Alarm,2011-03-01,47.615007,-122.337781,RG11,0
Auto Fire Alarm,2011-03-01,47.60739,-122.33256399999999,RG20_25,0
Auto Fire Alarm,2011-03-01,47.600237,-122.30328999999999,RG20_25,0
Auto Fire Alarm,2011-03-01,47.598292,-122.33419099999999,RG20_25,0
Auto Fire Alarm,2011-02-28,47.620986,-122.30734199999999,RG20_25,0
Car Fire Freeway,2011-02-28,47.724436,-122.324128,RG01,0
Car Fire Freeway,2011-02-28,47.602936,-122.326094,RG20_25,0
Auto Fire Alarm,2011-02-28,47.612958,-122.337873,RG11,0
Automatic Fire Alarm Resd,2011-02-28,47.695483,-122.309474,RG04,0
